“海尔，这是阿包特·泰姆”这句台词出自哪款游戏？星际争霸2 
被成为“一生万物、万物归一者”的是 Yog-Sothoth 
#58 傅里叶级数是傅里叶在研究哪种物理现象时提出的？
 量子力学  电磁波  机械振动  热传导

#59 ”阿姆斯特朗回旋加速喷气式阿姆斯特朗炮“的名字出自哪部动漫
 《银魂》  《旋风管家》  《名侦探柯南》  《北斗神拳》
银他妈不用说啊，上次下雪我还捏了一个放在学长家门口的栏杆上

#60 火影忍者中4代火影和主角鸣人是什么关系？
 朋友  兄弟  父子  情敌
父子

#61 dota是哪个游戏的地图?
 魔兽世界  英雄联盟  魔兽争霸  星际争霸
魔兽世界

#62 在《死亡笔记》中，是谁杀死了夜神月？
 魅上照  龙崎（L）  硫克  尼亚
硫克

#63 机战里常说的“吉姆王”是出自哪一部作品
 勇者王  魔神凯撒  盖塔机器人  传说巨神
传说巨神

#64 以下哪一个游戏在早期2D时代的第一部作品不是俯视角？
 合金装备  侠盗猎车  塞尔达传说  银河战士
这个。。。不知道

#65 无头骑士异闻录中罪歌到11卷出现了几个母体？
 3个  1个  4个  2个
这个我也不知道。。。

#66 《魔笛MAGI》中梶裕貴配音的角色是谁？
 阿西巴巴  卡西巴巴  咔叽巴巴  阿里巴巴
阿里巴巴

#67 兵库北的天气怎么样？
 雨 20℃ 60%/40% 22岁  晴 19℃ 40%/60% 24岁  雨 19℃ 60%/40% 24岁  雨 19℃ 40%/60% 24岁
 雨 19℃ 60%/40%

#68 “海尔，这是阿包特·泰姆”这句台词出自哪款游戏？
 女装山脉  星际争霸2  鬼泣：DMC  火焰纹章:圣魔之光石
星际争霸2——Hell,it`s about time

#69 被成为“一生万物、万物归一者”的是
 Shub-Niggurath  Yog-Sothoth  Azathoth  Nyarlathotep
Yog-Sothoth

#70 《旋风管家》中的女主角三千院凪的身高是？(直接输入阿拉伯数字）
 140  141  139  138
138

#71 银河英雄传说中男主角杨威利是如何死亡的
 被迫自杀  被地球教刺客刺杀  寿终正寝  被莱因哈特击杀
地球刺客刺杀

#72 动漫（雪之少女）泽渡真琴，的口头禅是什么
 啊唔  啊呀  啊呜  啊哦
啊呜

#73 《魔法少女小圆》的编剧（脚本）是谁？
 龙骑士07  麻枝准  虚渊玄  奈须蘑菇
虚渊玄

#74 下列哪个角色不是关智一配音的？
 木之本桃矢  白滨兼一  高桥启介  基拉·大和
基拉大和

#75 是谁提出“感应电流的磁场总是要阻碍引起感应电流的磁通量的变化”?
 牛顿  法拉第  楞次  安培
楞次

#76 动漫《火影忍者》中，宇智波佐助所拥有的瞳术的名字是？
 光盘眼  白眼  轮回眼  写轮眼
写轮眼吧。。。

#77 《轻音少女》动画中，活动室里养的动物是？
 兔子  鹦鹉  猫  乌龟
龟
#78 灼眼的夏娜中夏娜所带的项链中红世之徒的名字是
 亚雷斯塔  亚拉斯托尔  艾因兹贝伦  爱丽斯菲尔
亚拉斯托尔

#79 国产动画片《魁拔》中，魁拔的重生时间是
 666年  444年  555年  333年
333

#80 以下哪一款RPG（角色扮演游戏）属于WRPG（欧美角色扮演游戏）？
 格兰蒂亚  博德之门  异度装甲  勇者斗恶龙
这个我真的不知道

#81 C语言中，如果ar是个数组，那么表达式ar[i]与什么等价？
 &(ar+i）  *(ar+i)  &ar+i  *ar+i
*ar(i+1)
#82 c语言中换行符是？
 \n  \g  \h  \s
 \n

#83 某万事屋老板的名字是？
 坂田金时  坂田甜食  坂田银时  坂田零食
坂田银时

#84 以下那部动画的配乐不是梶浦由纪？
 madlax  sword art online  fate stay night  fate zero
fsn

#85 《某科学超电磁炮》中 御坂美琴的硬币大约能打多少米？
 60米  40米  70米  50米
50米

#86 以下哪个动漫人物被作为我朝四代隐形战机的爱称？
 阎魔爱  蓬莱山辉夜  谏山黄泉  秋山澪
秋山澪

#87 EVA新剧场版中真希波玛丽眼镜镜框的颜色是
 紫色  白色  蓝色  红色
红色

#88 世界第一公主殿下是谁
 巡音  初音未来  镜音铃  lily
初音

#89 哔哩哔哩是什么类型的网站?
 里番视频  哲♂学♂研♂究  弹幕视频  有关部门
弹幕视频

#90 2012年日萌萌王是谁
 巴麻美  园城寺怜  逢坂大河  夏娜

#91 《穿越火线》由国内哪家公司代理运营？
 网易  完美  腾讯  九城
腾讯

#92 下列各项不属于电脑操作系统的是
 S60  XP  DOS  UNIX
S60

#93 国际标准化组织ISO制定的OSI模型中，路由器工作在哪一层？
 传输层  网络层  应用层  数据链路层
网络层

#94 下列谁没有担任《机动战士高达V》的机设
 安彦良和  KATOKI  石垣纯哉  大河原邦男
 安彦良和 

#95 mugen人物实力一共有几个级别
 6个  8个  5个  7个
A:7个

#96 由Nintendo公司发售的8位游戏机的名称缩写是什么？
 FC  XBOX  PS3  PSP
A: FC  

#97 （），你一定不懂吧。括号里的名字是？
 当麻  士郎  秀吉  心叶
A: 心叶

#98 团长的名字是
 须川亮  千反田爱瑠  凉宫春日  库洛洛 鲁西鲁
A:凉宫春日

#99 空之境界中与阴性人格式相反的阳性人格是?
 枳  织  职  识
A:织

#100 东方project中不死组指的是那对CP
 辉夜x永琳  妹红X慧音  永琳X慧音  妹红X辉夜
A:妹红X辉夜
有一种比女孩子还可爱的男孩子,他们替路西法做收割(....)的工作. (两字中文) 
回答：灵魂

"如同预想的一样" 这句话减缩意思可以用哪三个字表达?(中文三字) 
回答：计划通 

金坷拉的公司总部在美国(.....)?(四字中文) 
回答：圣地亚哥 

iphone 20的宣传片邀请了一名使用宇宙力量战斗的战士作代言人,请问这名战士的职业是? (四字中文) 
回答：绝地武士

那些会躲在草丛里等你路过时像狗一样跳出来的英雄,他们肯定都来自(....) (四字中文) 
回答：英雄联盟

这么可爱!一定是(....)(三字中文) 
回答：男孩子 

╮（￣▽￣）╭ <- 这个表情是什么文字? (三字中文) 
回答：颜文字

只有带着怨气才能在午夜12点准时上去的网站叫(?)(4字中文 出处：地狱少女) 
回答：地狱通信 

没有逻辑、非常玄幻、违规常理的事件,都可以用哪四个字来表达?(四字中文) 
回答：这不科学 

进幻想乡最快的方法,就是对着一名17岁的妙龄少女喊她(....) (两字中文) 
回答：紫妈

写作绅士读作???写作淑女读作???(两字中文╮（￣▽￣）╭) 
回答：变态 

凌波丽的微笑被称为?(中文5字) 
回答：女神的微笑 

奥林帕斯山是珠穆朗玛峰的三倍高,请问它坐落于哪?(两字中文) 
回答：火星 

你是否愿意为这个宇宙付出你的一切(╮（￣▽￣）╭) 
回答：是 

从前我和你一样也是是一名冒险家，直到我(....)中了一箭(两字中文) 
回答：膝盖 

一名优秀的反派,应该在主角和亲信煽情的时候保持(...)状态 (中文两字网游名词) 
回答：掉线

撬棍还有另外一个名字,那是?(中文五字) 
回答：物理学圣剑 

不罗利一直在苦心寻找的卡卡罗特是谁? (3字中文) 
回答：孙悟空

无论多高的地方跳下,只要有稻草堆就不会受伤的技能是?(四字中文) 
回答：信仰之跃 

已知A星球是B星球质量的2700倍，A与C距离为400光年，B与C距离为1光年，求A-C与B-C的引力比例(格式 1/100) 
回答：1/6 

处于食物链顶端吃什么都嘎蹦脆鸡肉味的人型生命体叫?(两字中文) 
回答：贝爷 

在fatezero中,一切的一切全都是(...)的错 (两字中文)
回答：时臣 

拯救世界和毁灭世界的少年少女们都普遍患有一种疾病,这种疾病叫? (三字中文) 
回答：中二病

fate中Saber的剑的食物名叫法是? (中文三字) 
回答：咖喱棒

御阪美琴又被称为? (四字小写英文) 
回答：bilibili

用了金柯拉,小麦亩产(???) (半角数字) 
回答：1800

在网上喜欢恶意卖萌的不一定就是软妹子,也有可能是(....) (中文四字) 
回答：抠脚大汉

元首到了中国的什么省份学会了中文? (三字中文) 
回答：河北省

二小姐芙兰朵露的年龄为(???)岁 (答不了请F5刷新换问题) 
回答：495

屏蔽广告的上辈子都是折翼的(...) (两字中文) 
回答：天使

魔法少女变身时，关键部位被圣光遮住了，你认为这是谁干的好事？ (打一职业角色，中文三字) 
回答：圣骑士

魔法少女小圆的最后,鹿目圆所定下的法则被巴麻美称为? (四字中文) 
回答：圆环之理

能让迷之音说:"神说了,你还不能在这里死去"的人一般都是(两字中文) 
回答：主角 

普通作品中,互相敌对势均力敌的对手,不允许对方死于他人之手,联手的时候完美无缺并且气氛暧昧,这种情况一般说这是一对(..) (大写两字英文) 
回答：CP

x(124-x)=1243 x为多少? (2个解,用半角逗号(,)分隔) 
回答：11,113

在JOJO世界里,喊出"the world"会发生什么?(四个中文) 
回答：时间暂停 

元首的爱人永远都是(...)! (中文三字) 
回答：斯大林

有一种喜欢卖萌的外星人,当人类被它们萌到的时候,他们会想"愚蠢的人类啊",问这是什么外星人? (三字中文) 
回答：喵星人

LZSB中文怎么打?  (四字中文) 
回答：兰州烧饼

信佛主死后成佛,信上帝死后上天堂,信春哥死后!(7字) 
回答：原地满状态复活 

集齐6把狂战士之斧后可以?(英文回答) 
回答：save the world 

杨教授的敌人是? 
回答：网魔

今天阿尔塞斯出门,在路边捡到一把剑,这把剑叫?(别在意细节) 
回答：霜之哀伤 

格斗游戏中,把对方逼在墙角长时间连段的话,这是学习了什么拳法?(四字) 
回答：北斗神拳 

微笑动画是什么? 
回答：niconico 

10W元就可以随便上的巫女是? 
回答：博丽灵梦（出自东方） 

只要是活着的东西,即使是神也杀给你看!(谁的台词) 
回答：两仪式 （出自空之境界） 

手握炉石身开圣盾,老子已经(四字) 
回答：天下无敌 （出自NGA囧图一张,PS自东成西就里王重阳出关的剧照） 

幻想乡最好吃的人是谁？ 
回答：伊吹萃香 （萃香音同西瓜(すいか)） 

自上古以来凡是自称沙包的都是(写作”沙包”读作(两字)) 
回答：触手 

武功再高,也怕??(刀塔相关) 
回答：羊刀 

世界第一的公主殿下是?(4字母) 
回答：miku 

我对普通的人类没有兴趣.你们之中要是有外星人,未来人,异世界来的人,(???)者,就尽管来找我吧! 
回答：超能力 （出自凉宫春日的忧郁） 

fate中红A开ubw那段时的音乐名是?(英文) 
回答：emiya （出自Fate/stay night） 

诚哥没错,一切都是(…)的错 
回答：世界 （出自School Days） 

《鸟之诗》又被称作什么? 
回答：国歌 （出自Air,国崎往人的歌）

宇宙的形状是像什么一样的? 
回答：棒子 

宇宙是谁创造的?
回答：棒子 

奥特曼遇到怪兽会怎样?
回答：哔哔哔哔 

著姐软妹子,(.....) 
回答：柔情真女子

#1 俺はGandom（我就是高达）这句话是谁说的？
 刹那·F·清英  基拉·大和  希罗·尤尔  巴纳吉·林克斯
A:  刹那·F·清英

#2 灼眼的夏娜中女主角的刀名字叫？
 妖刀心渡  闪烁之光  洞爷湖  贽殿遮那
A:贽殿遮那

#3 《摇曳百合》中京子喜爱的冰淇淋口味是什么？
 朗姆酒葡萄干  提拉米苏黑莓  覆盆子柠檬  焦糖巧克力
A: 朗姆酒葡萄干

#4 命运石之门男主角的网名是
 约翰·提托  凤凰院凶真  栗悟饭和龟派气功  凤凰院胸针
A:凤凰院凶真

#5 以下哪部游戏中没出现东风谷早苗？
 东方绯想天则  东方地灵殿  东方神灵庙  东方风神录
A:东方神灵庙

#6 《CLANNAD》中的冈崎朋也的配音是谁？
 中村悠一  中村悠  肉村悠一  肉村悠一郎
A:中村悠一

#7 《火影忍者》中的第五代火影是谁？
 漩涡鸣人  旗木卡卡西  宇智波佐助  千手纲手
A:千手纲手

#8 桂木桂马的协助者是谁？
 艾露西  琉妮  白娅·杜·罗德·赫尔梅尼姆  诺拉·芙萝莉安·蕾欧莉亚
A;艾露西  琉妮

#9 杀手47的后脑勺上有什么
 条形码  发髻  当然是头发  龙纹
A:条形码

#10 psycho pass里最美警花是谁?
 六合冢弥生  常守朱  宜野座伸元  唐之杜志恩
A:宜野座伸元

#11 《数码兽大冒险》中第八位被选召的孩子是？
 武之内素娜/武之内空  城户丈  泉光子郎  八神光/八神嘉儿
A:八神光/八神嘉儿

#12 雾雨魔理沙的口癖是？
 DA☆ZE  咪啪  death  姆Q~
A: DA☆ZE

#13 切丝papa的生日在几月几日？
 11月11日  2月14日  4月1日  12月21日
A: 11.11
#14 为动画《魔法少女小圆》中佐仓杏子一角配音的声优是？
 斋藤千和  喜多村英梨  野中蓝  悠木碧
A:野中蓝 

#15 “月有阴晴圆缺”，用科学的观点看待这件事，原因是？
 地球绕月球转动偏角不同  地球绕太阳转动，月球绕地球转动，两者转速不一样，出现偏角，使地球掩住了月球的一部分 人有悲欢离合  太阳光照射不均匀
A:地球绕太阳转动，月球绕地球转动，两者转速不一样，出现偏角，使地球掩住了月球的一部分

#16 《我的朋友很少》中，井上麻里奈为哪个角色配音？
 三日月太空  三日月空太  三日月夜空  三日月星空
三日月夜空 

#17 游戏《生化危机1》的第一女主角是谁？
 谢娃·阿洛玛  吉尔·瓦伦蒂安  蕾贝卡·钱伯斯  克莱尔.雷德菲尔德
吉尔·瓦伦蒂安

#18 回转企鹅罐中一共有多少个ED？出了多少个OST
 1，6  10，8  5，3  2，1
10，8

#19 身为纯爷们，绝对从不回头看什么
 凡人  战友  女神  爆炸
爆炸

#20 以下哪一位不是《最终幻想：零式》的CV
 丰崎爱生  林原惠美  钉宫理惠  花泽香菜
钉宫理惠

#21 《大航海时代2》阿兰的特长是什么？
 炮术  剑术  会计  测量
会计？？

#22 钢之炼金术师FA中角色张梅身边总跟着一只什么动物
 小狗  小熊猫  小鸟  小猫
熊猫

#23 Fate stay night中，士郎击杀Berserker所投影的武器叫？
 Excalibur  Enuma Elish  Aroundight  Caliburn
Caliburn石中剑

#24 幽灵行军不是谁的固有结界
 白骑士  梵·斐姆  斯菲尔丁  布拉德
幽灵行军

#25 初音未来的音源提供者是哪个声优？
 藤田关  藤田咲  藤田桑  藤田笑
藤田咲【绝对是猜的

#26 著名电子游戏《上古卷轴》是由哪家公司开发的？
 Blizzard  Bethesda  Electronic Arts  Ubisoft
Bethesda

#27 石蕗惠汰,羽濑川小鹰,须贺京太郎,大路饼藏四人的共同点[不]包括
 都是男孩子  对百合构成一定的威胁  声优均为1980年之后出生  发色均为黄色
我。。。我。。。我不知道

#28 在Mugen中，最高的人物等级是？
 论外  狂  神  凶
论外？

#29 圣斗士星矢的看家技能是？
 天马恒星拳  天马陨石拳  天马星辰拳  天马流星拳
天马流星拳

#30 魔兽世界里的联盟英雄吉安娜是什么职业
 武僧  盗贼  死亡骑士  法师
法师

#31 谁被称为日本动画界的黑泽明？
 宫崎骏  今敏  宫崎吾朗  新海诚
宫崎骏

#32 “世界已完蛋”来自于哪部作品OP的空耳？
 潜行吧奈亚子  幸运星  中二病也要谈恋爱  日常
奈那子

#33 炮姐的最爱是？
 贺氏Y太  哞太  咩太  呱太
呱太

#34 美少女战士的作者是哪位漫画家的夫人？
 藤卷忠俊  高河弓  富坚义博  尾田荣一郎
富奸

#35 陈坤在微博向大家推荐了哪部动画得到群众热烈反应？
 《Boku》  《Blood-C》  《Fate/Zero》  《Code Gease》
fz

#36 在FATE STAY NIGHT 中阿尔托莉雅的职介是什么
